Run_Start,Run_End,noedtm,edtmLow,edtmHigh,ptrigHMSLow,ptrigHMSHigh,ptrigSHMSLow,ptrigSHMSHigh,ptrigCOINLow,ptrigCOINHigh,goodstarttime,goodscinhit
7951.0,7951.0,0.0,2658.0,3220.0,4767.0,5200.0,5426.0,5974.0,0.0,0.0,1.0,1.0
5344.0,5344.0,0.0,2939.0,3391.0,4764.0,5254.0,0.0,0.0,0.0,0.0,1.0,1.0
5153.0,5153.0,0.0,2704.0,3267.0,4764.0,5064.0,0.0,0.0,0.0,0.0,1.0,1.0
7961.0,7961.0,0.0,2705.0,3268.0,4768.0,5227.0,5450.0,5998.0,0.0,0.0,1.0,1.0
7959.0,7959.0,0.0,2701.0,3263.0,4768.0,5227.0,5401.0,5998.0,0.0,0.0,1.0,1.0
5343.0,5343.0,0.0,2862.0,3443.0,4764.0,5199.0,0.0,0.0,0.0,0.0,1.0,1.0
5349.0,5349.0,0.0,2780.0,3298.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
7960.0,7960.0,0.0,2712.0,3274.0,4767.0,5226.0,5354.0,5919.0,0.0,0.0,1.0,1.0
5165.0,5165.0,0.0,2760.0,3323.0,4764.0,5065.0,0.0,0.0,0.0,0.0,1.0,1.0
5156.0,5156.0,0.0,2817.0,3380.0,4765.0,5065.0,5517.0,5937.0,0.0,0.0,1.0,1.0
5162.0,5162.0,0.0,2760.0,3323.0,4764.0,5065.0,5526.0,5862.0,0.0,0.0,1.0,1.0
7950.0,7950.0,0.0,2703.0,3265.0,4768.0,5227.0,5477.0,6021.0,0.0,0.0,1.0,1.0
7844.0,7844.0,0.0,2706.0,3269.0,4767.0,5253.0,5438.0,6001.0,0.0,0.0,1.0,1.0
7864.0,7864.0,0.0,2654.0,3217.0,4766.0,5154.0,5399.0,5948.0,0.0,0.0,1.0,1.0
5302.0,5302.0,0.0,2817.0,3380.0,4764.0,5064.0,5523.0,5932.0,0.0,0.0,1.0,1.0
5150.0,5150.0,0.0,2760.0,3323.0,4764.0,5064.0,5524.0,5846.0,0.0,0.0,1.0,1.0
5167.0,5167.0,0.0,2817.0,3380.0,4763.0,5065.0,5521.0,5867.0,0.0,0.0,1.0,1.0
5155.0,5155.0,0.0,2816.0,3380.0,4764.0,5065.0,5517.0,5870.0,0.0,0.0,1.0,1.0
7958.0,7958.0,0.0,2648.0,3211.0,4768.0,5227.0,5398.0,5996.0,0.0,0.0,1.0,1.0
7948.0,7948.0,0.0,2774.0,3336.0,4768.0,5227.0,5412.0,5962.0,0.0,0.0,1.0,1.0
7863.0,7863.0,0.0,2704.0,3267.0,4767.0,5253.0,5264.0,5848.0,0.0,0.0,1.0,1.0
5171.0,5171.0,0.0,2816.0,3379.0,4764.0,5066.0,5515.0,5969.0,0.0,0.0,1.0,1.0
5168.0,5168.0,0.0,2760.0,3323.0,4764.0,5065.0,5519.0,6039.0,0.0,0.0,1.0,1.0
5295.0,5295.0,0.0,2873.0,3436.0,4765.0,5064.0,5521.0,5947.0,0.0,0.0,1.0,1.0
